Symbol,Name,SumWeights,Holders,DiffEntries,DiffValue
FND,Floor & Decor Holdings Inc,0.0697,"[('XHB', 0.0382), ('PKB', 0.0315)]",New,New
SLCA,US Silica Holdings Inc,0.0494,"[('XES', 0.0494)]",New,New
CENX,Century Aluminum Co,0.0471,"[('XME', 0.0471)]",New,New
ASSA B,Assa Abloy AB B,0.0465,"[('EWD', 0.0465)]",New,New
QGEN,Qiagen NV,0.0463,"[('PBE', 0.0463)]",New,New
ANDR,Andritz AG,0.045700002,"[('EWO', 0.045700002)]",New,New
HEXA B,Hexagon AB Class B,0.044899996,"[('EWD', 0.044899996)]",New,New
SAND,Sandvik AB,0.0444,"[('EWD', 0.0444)]",New,New
A17U.SI,Ascendas Real Estate Investment Trust Units Real Estate Investment Trust,0.044099998,"[('EWS', 0.044099998)]",New,New
BN4.SI,Keppel Corp Ltd,0.044,"[('EWS', 0.044)]",New,New
RBI,Raiffeisen Bank International AG,0.0435,"[('EWO', 0.0435)]",New,New
CAI,CA Immobilien Anlagen AG,0.0432,"[('EWO', 0.0432)]",New,New
SSW.JO,Sibanye Stillwater Ltd Ordinary Shares,0.0402,"[('EZA', 0.0402)]",New,New
C6L.SI,Singapore Airlines Ltd,0.0378,"[('EWS', 0.0378)]",New,New
M44U.SI,Mapletree Logistics Trust,0.0367,"[('EWS', 0.0367)]",New,New
IIA,Immofinanz AG,0.035,"[('EWO', 0.035)]",New,New
WHD,Cactus Inc Class A,0.033800002,"[('IEZ', 0.033800002)]",New,New
FFIV,F5 Networks Inc,0.0336,"[('IYZ', 0.0336)]",New,New
SEB A,Skandinaviska Enskilda Banken AB A,0.0324,"[('EWD', 0.0324)]",New,New
SUM,Summit Materials Inc A,0.0315,"[('PKB', 0.0315)]",New,New
LBTYK.L,Liberty Global PLC C,0.028199999,"[('IYZ', 0.028199999)]",New,New
SLM.JO,Sanlam Ltd,0.027999999,"[('EZA', 0.027999999)]",New,New
SITM,SiTime Corp Ordinary Shares,0.0275,"[('XSD', 0.0275)]",New,New
CEIX,CONSOL Energy Inc Ordinary Shares,0.0229,"[('RZV', 0.0229)]",New,New
COOP,Mr. Cooper Group Inc,0.019299999,"[('RZG', 0.019299999)]",New,New
HZO,MarineMax Inc,0.019,"[('RZG', 0.019)]",New,New
COWN,Cowen Inc Class A,0.018,"[('KCE', 0.018)]",New,New
ZEUS,Olympic Steel Inc,0.0143,"[('RZV', 0.0143)]",New,New
CXW,CoreCivic Inc,0.0116,"[('RZV', 0.0116)]",New,New
SLA.L,Standard Life Aberdeen PLC,0.0083,"[('DIM', 0.0083)]",New,New
HLAG.DE,Hapag-Lloyd AG,0.008,"[('DIM', 0.008)]",New,New
TEL2 B,Tele2 AB B,0.0073,"[('DIM', 0.0073)]",New,New
LQDT,Liquidity Services Inc,0.0067000003,"[('SSLY', 0.0067000003)]",New,New
PLXS,Plexus Corp,0.006,"[('SSLY', 0.006)]",New,New
VG,Vonage Holdings Corp,0.0058999998,"[('SSLY', 0.0058999998)]",New,New
SANM,Sanmina Corp,0.0056,"[('SSLY', 0.0056)]",New,New
NWN,Northwest Natural Holding Co,0.0049,"[('SSLY', 0.0049)]",New,New
